index,ADDR_NUM,FULL_STR,MBL,ADDRESS_FOR_STREET_VIEW,AERIAL_Driveway,GSV_Driveway,final_label,aerial_filename,gsv_filename
13110,352,LOWELL ST,32-D-14,"352  LOWELL ST, SOMERVILLE, MA",2,0,0.1,352_LOWELL_ST_aerial.png,352_LOWELL_ST.jpg
10935,359,BEACON ST,37-C-6,"359  BEACON ST, SOMERVILLE, MA",1,1,1,359_BEACON_ST_aerial.png,359_BEACON_ST.jpg
13096,364,HIGHLAND AVE,25-C-4,"364  HIGHLAND AVE, SOMERVILLE, MA",2,0,0.1,364_HIGHLAND_AVE_aerial.png,364_HIGHLAND_AVE.jpg
11930,365,WASHINGTON ST,64-C-21,"365  WASHINGTON ST, SOMERVILLE, MA",2,2,0.5,365_WASHINGTON_ST_aerial.png,365_WASHINGTON_ST.jpg
12196,371,BROADWAY,58-E-10,"371  BROADWAY, SOMERVILLE, MA",1,1,1,371_BROADWAY_aerial.png,371_BROADWAY.jpg
12050,379,HIGHLAND AVE,24-G-12,"379  HIGHLAND AVE, SOMERVILLE, MA",2,1,0.9,379_HIGHLAND_AVE_aerial.png,379_HIGHLAND_AVE.jpg
12833,10A,COTTAGE AVE,26-I-12,"10A  COTTAGE AVE, SOMERVILLE, MA",0,0,0,10A_COTTAGE_AVE_aerial.png,10A_COTTAGE_AVE.jpg
13483,10B,MURDOCK ST,33-A-6,"10B  MURDOCK ST, SOMERVILLE, MA",1,1,1,10B_MURDOCK_ST_aerial.png,10B_MURDOCK_ST.jpg
13271,12A,TRULL ST,41-A-28,"12A  TRULL ST, SOMERVILLE, MA",0,1,0.9,12A_TRULL_ST_aerial.png,12A_TRULL_ST.jpg
9165,13A,AVON PL,92-I-14,"13A  AVON PL, SOMERVILLE, MA",1,0,0.9,13A_AVON_PL_aerial.png,13A_AVON_PL.jpg
